recording,evar_FA_mean,evar_FA_median,evar_n_hits_mean,evar_n_hits_median,evar_max_hits_mean,evar_max_hits_median,evar_HR_mean,evar_HR_median,evar_trial_idx_mean,evar_trial_idx_median,cond_,set_Easy,set_Hard,set_Medium,epoch_set,t1_0_0.45,t2_0.5_0.95,t3_1_1.45,t4_1.5_1.95,t5_2_2.45,t6_2.5_2.95,t7_3_3.45,t8_3.5_3.95,t9_4_4.45,t10_4.5_4.95,t11_5_5.45,t12_5.5_5.95,t13_6_6.45,t14_6.5_6.95,t15_7_7.45,t16_7.5_7.95,t17_8_8.45,t18_8.5_8.95,t19_9_9.45,t20_9.5_9.95,t21_10_10.45,t22_10.5_10.95,t23_11_11.45,t24_11.5_11.95,t25_12_12.45,t26_12.5_12.95,t27_13_13.45,t28_13.5_13.95,t29_14_14.45,t30_14.5_14.95,t31_15_15.45,t32_15.5_15.95,t33_16_16.45,t34_16.5_16.95,t35_17_17.45,t36_17.5_17.95,t37_18_18.45,t38_18.5_18.95,t39_19_19.45,t40_19.5_19.95,t41_20_20.45,t42_20.5_20.95,t43_21_21.45,t44_21.5_21.95,t45_22_22.45,t46_22.5_22.95,t47_23_23.45,t48_23.5_23.95,t49_24_24.45,t50_24.5_24.95,t51_25_25.45,t52_25.5_25.95,t53_26_26.45,t54_26.5_26.95,t55_27_27.45,t56_27.5_27.95,t57_28_28.45,t58_28.5_28.95
"cS12_b1_b2_b3_b4_b5_b6",0.043478,0,2.6087,3,2.6087,3,1,1,37.087,38,1,1,0,0,"Easy",-71.81932,-79.67057,-52.79459,-19.8815,-77.99801,-98.25574,5.249218,2.68969,-53.07546,-33.93398,21.34155,-1.866311,-35.01805,-93.71881,-115.3731,-127.4731,-140.2499,-71.4597,-93.58202,-112.8946,-191.1517,-214.1009,-187.1251,-102.2476,-100.8959,-224.7846,-326.468,-338.0782,-296.8735,-248.4435,-298.6092,-302.7569,-310.6938,-302.0379,-351.17886,-340.35516,-381.40381,-446.47137,-444.0296,-342.79523,-322.10095,-284.9971,-253.21347,-265.008,-289.37265,-263.83698,-276.5288,-227.83,-200.5889,-190.3623,-171.444,-167.2425,-225.1757,-275.768,-289.377,-280.8342,-330.7199,-433.7768
"cS12_b1_b2_b3_b4_b5_b6",0.047619,0,2.381,2,2.381,2,1,1,34.1429,35,1,0,0,1,"Medium",-65.32465,-78.35127,-15.35801,-40.52743,-52.81506,-47.16588,-51.03526,0.704252,-18.76786,4.641995,65.09724,132.9113,150.3544,214.4094,227.2767,231.3072,214.9956,211.516,193.2266,169.4568,175.9826,161.9165,144.3829,131.1437,84.66541,95.21825,163.5033,140.4627,126.2061,109.39,143.6466,147.5452,109.1462,153.3142,207.92549,182.87814,91.76265,58.908653,59.705273,35.232063,-11.462786,-52.965691,-39.820374,34.580025,12.941519,-42.894871,-65.30827,-129.785,-137.4337,-85.1255,-110.3393,-63.44588,18.15111,15.16371,-60.15692,-5.460529,39.69217,48.86876
"cS12_b1_b2_b3_b4_b5_b6",0.095238,0,2.4286,2,2.4286,2,1,1,37.1429,32,1,0,1,0,"Hard",-117.2951,-102.4428,-118.4098,-208.2808,-206.6031,-135.5588,-106.0859,-3.12713,61.35162,152.4102,221.2648,268.6278,177.1892,136.4638,163.4712,235.9478,278.2841,254.3188,242.1293,253.5883,261.6549,242.2981,244.4734,208.3473,137.2149,107.2802,129.1841,138.9525,164.1201,175.576,196.875,220.268,212.7246,118.4547,101.79498,139.3018,126.48499,114.17955,74.383682,33.315163,22.237591,-69.657837,-37.914043,-19.287258,-68.55661,39.366505,9.929278,-43.9346,-67.37572,-15.15189,13.65843,52.9099,29.5188,-62.81986,-102.5735,-83.70289,-55.27778,-2.938121
"cS13_b1_b2_b3_b4_b5_b6",0.045455,0,2.2273,2,2.2273,2,1,1,38.6818,42.5,1,1,0,0,"Easy",-425.6987,-400.315,-433.2445,-356.0122,-297.3068,-231.1987,-64.1326,-0.553947,-13.04753,-60.60128,-19.19724,14.43651,2.208701,-72.85415,-84.44373,-112.8602,-22.861,11.07486,-62.19825,-98.39025,-63.16425,-38.30819,-20.17029,-40.63141,-116.427,-226.1387,-298.0218,-367.3794,-338.9975,-375.6153,-410.8227,-516.5613,-538.8739,-535.4208,-482.81876,-486.327,-491.35791,-480.79828,-491.24918,-526.81238,-521.97046,-548.90741,-701.35577,-711.65747,-642.65546,-605.67609,-562.9557,-683.5822,-725.8107,-711.4586,-721.2264,-794.4482,-787.8496,-716.9645,-645.3733,-686.4092,-722.5062,-726.7623
"cS13_b1_b2_b3_b4_b5_b6",0.28571,0,2.4286,2,2.4286,2,1,1,33.8095,34,1,0,0,1,"Medium",-558.5034,-555.4549,-482.8347,-352.7438,-231.9936,-191.0005,-54.23388,-1.42955,-4.967165,-18.60929,135.3278,190.7572,79.39998,33.36747,25.96126,72.12296,55.03505,32.52065,6.480952,-8.454733,-95.63368,-236.0027,-278.0401,-386.8226,-396.8383,-337.3696,-419.2737,-552.7167,-486.8783,-495.2374,-397.9986,-447.8181,-549.1994,-560.122,-511.97028,-545.76624,-607.19189,-598.46686,-594.80359,-651.20905,-673.61969,-647.43481,-624.32715,-678.98914,-642.12927,-614.89441,-547.5956,-541.73,-717.6776,-773.9032,-723.8845,-623.9121,-653.067,-677.577,-712.6204,-669.188,-562.1844,-578.5901
"cS13_b1_b2_b3_b4_b5_b6",0.3125,0,2.1875,2,2.1875,2,1,1,39,43,1,0,1,0,"Hard",-252.941,-76.38173,-44.37788,-10.88212,62.39632,73.35841,18.303,2.32296,20.82412,144.4281,284.3356,473.4593,519.707,517.3024,574.8752,566.7728,528.915,389.3196,398.5549,428.451,396.6822,354.3326,315.3107,326.7766,293.8498,192.3015,205.9777,262.7103,300.464,275.7202,242.1467,204.3437,202.5772,61.78103,-50.30909,28.172894,25.222683,-72.399239,-51.115181,24.224075,89.797035,105.55461,24.408802,19.563034,-24.021221,-33.02932,-68.17619,-113.808,-133.611,-6.684717,73.21625,2.627209,-98.43851,-88.21046,-173.4961,-174.2526,-255.2875,-316.4194
"cS14_b1_b2_b3_b4_b5_b6",0.15385,0,2.4615,2,2.4615,2,1,1,31.5385,35,1,1,0,0,"Easy",8.536633,-5.622499,-39.2169,-31.40506,-98.49381,-81.24101,-30.26695,0.0304606,-17.64888,-110.46,-190.2055,-191.9787,-184.2909,-162.8546,-103.9053,-75.399,-163.5951,-204.1702,-247.8191,-311.5845,-346.6489,-314.0046,-272.0095,-269.083,-320.314,-405.0639,-385.5875,-334.3747,-335.0375,-339.2679,-342.6761,-337.6309,-343.0419,-437.6469,-535.72668,-535.05341,-447.38461,-421.62979,-457.26733,-481.60211,-413.48456,-369.60822,-428.11768,-443.25693,-404.81714,-342.32813,-336.4229,-375.0332,-387.9788,-368.8573,-336.6519,-291.6602,-280.0217,-377.8469,-507.0829,-452.212,-411.6402,-404.5531
"cS14_b1_b2_b3_b4_b5_b6",0.44444,0,2.4444,2,2.4444,2,1,1,49.5556,51,1,0,0,1,"Medium",10.07743,-56.32881,-91.90389,-26.69348,-27.50304,0.5436447,54.35765,0.357265,1.278765,-3.252708,-99.32152,-159.8104,-153.4485,-143.0643,-103.2973,-60.95953,-36.98765,-81.26021,-138.8729,-202.9448,-274.1354,-263.9728,-188.99,-77.52237,-48.71611,-113.5673,-215.3138,-336.5706,-354.8852,-279.0973,-203.0684,-129.5941,-116.6781,-214.4882,-332.83258,-414.33051,-378.84894,-338.34882,-312.13837,-250.2961,-232.09647,-330.18027,-391.04852,-430.79648,-432.72519,-391.10016,-321.5352,-284.9435,-300.6397,-364.1136,-381.4004,-389.0764,-444.8602,-444.6542,-404.7068,-412.3788,-493.4869,-514.0806
"cS14_b1_b2_b3_b4_b5_b6",0.4,0,2.4,2,2.4,2,1,1,46,52,1,0,1,0,"Hard",-163.744,-96.99345,-15.56242,13.65577,50.79014,109.5594,88.06993,4.29778,-33.10619,47.28154,85.34251,53.74225,17.68526,-51.03795,-76.13181,-24.50432,-62.82029,-51.54465,1.013643,-30.60389,2.05082,-26.23735,-195.1537,-220.3795,-90.81777,-40.6652,-11.08854,-113.0455,-183.8291,-251.9511,-333.7675,-348.6016,-326.1055,-235.8745,-236.62292,-250.35928,-344.66824,-313.6087,-356.07889,-391.01355,-423.52032,-394.57983,-399.07977,-473.9223,-574.15729,-686.75519,-682.2841,-604.8885,-519.8285,-473.9675,-528.9049,-671.1085,-711.1043,-636.7662,-578.4659,-424.1515,-407.1683,-516.8982
"cS15_b1_b2_b3_b4_b5_b6",0.047619,0,2.5238,3,2.5238,3,1,1,37.7143,34,1,1,0,0,"Easy",90.89516,11.37019,-95.69645,-88.62071,-111.113,-111.2532,7.363204,-0.0360667,17.91298,94.4883,117.301,150.7004,183.122,174.1685,154.6277,62.28712,44.61012,74.59422,61.48497,-12.9708,-133.0039,-111.1351,-83.35322,-152.8143,-129.2475,-39.4397,33.83485,73.51604,62.27983,53.61886,41.00681,17.01152,-12.10845,-13.352,-30.325054,2.157846,31.503042,90.105789,65.039795,38.554859,-0.59100181,3.6282868,44.449005,31.382191,110.21844,108.86837,137.3107,108.3065,125.5684,109.1337,119.2677,123.6371,139.9982,86.55461,26.71066,-43.47896,11.36139,-156.0917
"cS15_b1_b2_b3_b4_b5_b6",0.052632,0,2.5263,3,2.5263,3,1,1,33.1579,35,1,0,0,1,"Medium",-163.0873,-49.4581,-19.51793,-12.19473,-16.53543,-65.50417,-53.93605,-5.56911,54.75259,149.9099,212.3796,258.0767,215.8177,204.5783,177.6213,207.0078,181.9784,117.6653,54.54908,7.286776,-27.9703,-34.1781,-104.7122,-80.64527,-117.7429,-90.90437,-75.51743,-75.14647,-58.20632,-89.70345,-174.8335,-142.3223,-95.13562,-120.3851,-126.7407,-119.81099,-207.36406,-410.47333,-357.81757,-275.0528,-216.46896,-172.1389,-153.99167,-121.83185,-222.86552,-294.82068,-252.4918,-201.4994,-214.383,-197.9491,-146.752,-138.5133,-101.481,-115.9339,-171.0575,-181.805,-169.2703,-240.9713
"cS15_b1_b2_b3_b4_b5_b6",0.125,0,2.375,2,2.375,2,1,1,31.5625,32,1,0,1,0,"Hard",112.5188,14.18422,-16.59108,28.01335,-53.77557,-23.66481,8.704432,-0.261501,0.5413444,42.42902,237.9168,367.6701,327.9193,369.5021,418.1037,368.056,300.7713,156.595,93.83626,98.57674,119.1873,149.0364,92.69833,-30.20504,-15.91089,82.83775,40.62032,-11.50067,-90.31187,-126.5616,-170.9716,-166.933,-174.0434,-207.1342,-89.271072,-122.98623,-211.3252,-95.456367,-27.2757,-27.150991,-50.500492,-72.669991,-19.619671,24.200518,39.187103,20.377777,-26.46336,-50.25057,-107.0304,-63.12566,-10.09243,-39.19417,-45.37229,-64.9097,-59.74967,-60.96944,-163.8273,-232.0173
"cS16_b1_b2_b3_b4_b5_b6",0.045455,0,2.4545,2,2.4545,2,1,1,36.5,32.5,1,1,0,0,"Easy",-1.169057,99.79678,123.0359,74.23732,-0.3046965,12.16309,28.91468,-0.0749165,-32.21745,-80.12239,-165.4602,-220.3424,-260.5298,-291.6493,-317.4984,-299.8004,-302.5582,-341.7101,-371.1215,-381.1949,-377.7947,-417.4183,-414.9846,-466.9135,-541.5942,-599.4612,-668.7777,-686.8857,-657.2102,-682.1143,-725.3998,-694.275,-695.0681,-715.8688,-749.02917,-707.21082,-748.26233,-764.11139,-768.64929,-735.17169,-705.87274,-678.8067,-654.63696,-676.97913,-660.76404,-630.34509,-627.7614,-706.0101,-743.223,-769.0839,-732.4479,-766.8954,-821.736,-810.5789,-774.3378,-768.2313,-774.9692,-765.1658
"cS16_b1_b2_b3_b4_b5_b6",0.041667,0,2.5,2.5,2.5,2.5,1,1,35.75,36,1,0,0,1,"Medium",132.9059,160.6415,142.4985,88.32516,59.04591,31.07644,38.99065,0.822649,-11.90262,-6.330447,-0.6369042,-20.39712,-68.49183,-99.50171,-123.9175,-147.7152,-172.4624,-215.4938,-262.3879,-302.481,-286.6242,-294.1833,-309.5737,-368.3454,-337.4922,-291.166,-234.6116,-195.9255,-247.9267,-277.0342,-308.5024,-348.8252,-391.5988,-377.8362,-353.08728,-392.01816,-407.47995,-389.06989,-383.99326,-354.11313,-360.01767,-392.51465,-414.64297,-427.80438,-438.51367,-391.49802,-374.1693,-349.1334,-342.7563,-363.6945,-409.9432,-416.3143,-416.25,-404.4412,-395.0301,-372.6099,-384.4384,-411.7863
"cS16_b1_b2_b3_b4_b5_b6",0.15,0,2.45,2,2.45,2,1,1,36.55,37.5,1,0,1,0,"Hard",108.3948,124.8703,97.63951,49.80797,-0.1997925,-6.116794,21.11886,2.52063,-52.08564,-16.72636,-10.75393,-46.24329,-58.40847,-99.21432,-112.2295,-114.9476,-181.9774,-211.686,-155.8595,-163.7991,-173.1974,-163.8298,-160.5108,-200.7023,-180.3448,-176.7436,-267.157,-269.0708,-256.4059,-272.1046,-240.7301,-211.1829,-221.453,-250.869,-257.29916,-248.23996,-228.47925,-240.69223,-237.95329,-232.88589,-218.12045,-146.16557,-164.55077,-155.7048,-163.49417,-235.60469,-250.3834,-239.0581,-232.6793,-233.8872,-223.6317,-189.4727,-184.5803,-176.7263,-152.7959,-129.9101,-163.3837,-201.5638
"cS17_b1_b2_b3_b4_b5_b6",0,0,2.2941,2,2.2941,2,1,1,35,35,1,1,0,0,"Easy",-19.20994,-54.32635,-104.8938,-111.2254,-89.05672,-44.39214,-12.69174,-0.969083,11.50943,34.90189,-0.7028408,-84.56495,-99.91001,-69.23537,-17.81634,41.13485,51.53093,11.06314,-10.27981,15.38708,-28.38366,-114.9979,-128.2433,-120.8607,-84.76141,-55.11326,-81.43604,-112.7297,-95.04163,-92.05629,-119.034,-146.8251,-196.4688,-226.2346,-199.00529,-192.27196,-210.21786,-214.95659,-164.96991,-108.88361,-115.58919,-119.09209,-101.17149,-153.74849,-191.41524,-245.9696,-298.9848,-270.76,-249.5921,-242.0815,-225.7208,-214.5053,-214.725,-220.4644,-288.9217,-349.9442,-411.1501,-456.6718
"cS17_b1_b2_b3_b4_b5_b6",0.33333,0,2.4167,2,2.4167,2,1,1,36.4167,35,1,0,0,1,"Medium",234.4601,236.9565,206.6385,197.255,124.4304,90.39085,48.2243,-0.653601,15.56233,85.86572,170.2769,206.1125,192.7678,149.9712,99.55045,30.23622,-35.22351,-60.89803,-52.13104,4.157875,83.42424,138.9259,168.8829,125.8212,3.040301,-109.122,-152.3592,-145.5605,-108.0342,-63.47126,-27.86838,-8.155437,8.90872,3.439274,-0.29871616,-29.295502,-85.709641,-140.06206,-147.92099,-136.82578,-97.282051,-63.660809,-51.443684,-83.267426,-123.30117,-163.4082,-270.7559,-324.446,-318.8946,-283.5364,-228.139,-136.7218,-111.6368,-98.95933,-124.3938,-120.9397,-132.8443,-105.0291
"cS17_b1_b2_b3_b4_b5_b6",0.6,1,2.2,2,2.2,2,1,1,45,47,1,0,1,0,"Hard",10.56053,76.83228,93.28072,154.6971,154.9444,93.49883,56.9851,0.614785,-7.219277,64.182,120.9422,98.23821,74.34981,75.1248,11.71405,-47.26257,-90.15326,-122.2577,-130.3963,-95.35946,-20.90136,79.15409,86.92335,84.11565,23.15184,21.0055,-16.18603,-40.80837,-24.53274,-35.85066,0.8129677,93.56301,150.4263,142.2912,65.503151,50.136009,35.430748,101.61964,138.90163,199.61569,264.22,284.57339,237.71762,236.35648,82.994064,-44.051796,-72.75514,-56.35648,40.67606,64.30868,135.7211,193.9244,224.8073,240.5824,138.2038,-21.44455,-125.6894,-147.5184
"cS18_b1_b2_b3_b4_b5_b6",0,0,2.2917,2,2.2917,2,1,1,36.2917,36.5,1,1,0,0,"Easy",43.41196,38.44093,134.9294,134.5669,65.71083,-1.338538,55.58105,4.01727,0.6108013,145.5627,205.8594,171.289,107.7233,71.9184,96.40349,96.19582,107.1747,77.18011,93.78762,127.9217,144.6207,145.2811,81.37932,60.47439,93.57657,75.22466,48.1813,-7.432677,-20.38245,3.396191,24.36171,20.12819,-1.871014,10.67082,44.542614,-0.65703791,-27.048712,37.744926,102.89014,71.462906,59.313923,138.94235,130.58456,66.183105,31.727896,20.312588,-15.54638,-40.70541,-23.00209,-19.38908,14.12329,74.39825,109.7126,58.5662,35.00274,5.053166,-17.35473,-36.41041
"cS18_b1_b2_b3_b4_b5_b6",0.13043,0,2.4783,2,2.4783,2,1,1,37.5652,38,1,0,0,1,"Medium",12.11687,35.01188,103.1613,21.51776,-113.5048,-112.3098,-14.40575,2.31593,-29.82771,91.61141,220.4545,306.6312,225.6008,208.2701,251.9378,320.0627,294.7704,304.2215,336.0726,288.233,308.2874,349.3377,323.9785,298.1078,305.8496,292.7776,304.3304,308.4518,274.2332,294.8493,240.8904,244.6883,329.2774,387.2903,387.56894,388.54907,285.53397,319.90741,336.72711,280.07532,296.0462,335.233,324.44269,273.27386,288.53711,224.02556,212.3158,189.4164,253.8403,271.6257,221.9352,156.9414,186.6686,133.1146,160.8802,189.5998,127.1738,72.43096
"cS18_b1_b2_b3_b4_b5_b6",0.1,0,2.55,3,2.55,3,1,1,34.7,33,1,0,1,0,"Hard",61.67017,112.3524,114.7541,88.15845,-40.99567,-80.42693,47.76558,8.48378,-59.92342,100.8531,277.7957,431.6428,384.5979,394.6488,441.7358,511.8602,474.6683,399.3445,411.0453,406.6812,340.9535,394.3555,509.4274,585.7819,579.0883,562.5061,614.0959,643.6962,586.0546,598.1496,611.4332,560.2324,506.5164,509.6898,497.94794,446.56836,363.06049,362.7973,332.60822,368.11163,430.72485,476.45004,483.05029,441.65836,412.90146,467.18207,526.3912,556.6655,523.8008,438.6053,512.2555,551.9984,571.8123,534.897,508.6335,564.4517,626.7259,602.4722
"cS19_b1_b2_b3_b4_b5_b6",0,0,2.3913,2,2.3913,2,1,1,35.5652,35,1,1,0,0,"Easy",-632.0313,-517.5538,-260.7512,-80.70718,-46.43684,-1.890764,87.45773,10.4201,-128.7724,-96.44044,47.20059,80.99003,105.7357,64.54979,-51.98562,-108.4371,-116.391,-167.546,-222.5033,-254.8148,-356.142,-446.3205,-574.3879,-604.9301,-646.3583,-572.7278,-552.4714,-641.9422,-751.9661,-841.0166,-906.2499,-954.0075,-842.3787,-876.8835,-1062.318,-1230.6931,-1144.1184,-1114.9752,-1148.4126,-1173.1376,-1287.4449,-1230.66,-1174.6906,-1129.3187,-1059.8145,-1006.4659,-954.548,-929.6496,-883.6185,-779.8809,-846.6915,-877.8169,-832.6449,-798.9722,-717.2863,-612.3685,-677.7299,-827.1833
"cS19_b1_b2_b3_b4_b5_b6",0.38462,0,2.6923,3,2.6923,3,1,1,37.7692,39,1,0,0,1,"Medium",-492.4133,-213.9855,11.24288,113.3774,82.45123,-127.071,-120.6791,-3.79867,79.83387,178.2323,260.3174,363.5045,337.0005,316.9038,285.1408,287.4271,367.3541,381.4969,344.5632,356.6187,263.6058,145.1592,68.98366,8.528856,-45.55605,-109.6489,-119.3047,-106.8304,-166.0256,-152.6948,-155.427,-226.3898,-285.0914,-262.2702,-421.45483,-473.42865,-395.9462,-404.68484,-349.32172,-327.03564,-307.45609,-300.98291,-467.67422,-508.09848,-530.23773,-517.35095,-502.7913,-472.0141,-439.3438,-481.773,-494.9363,-563.6568,-728.2665,-689.5585,-669.9587,-722.5665,-747.2819,-819.8947
"cS19_b1_b2_b3_b4_b5_b6",0.55556,1,2.6667,3,2.6667,3,1,1,37.3333,43,1,0,1,0,"Hard",-329.0497,-239.4286,-21.74176,54.90934,-53.85632,-163.7955,-72.73976,-1.5352,1.802468,104.4787,237.4377,272.958,247.9595,288.9481,347.1179,400.6256,408.3369,334.794,232.3454,141.586,133.0535,83.37074,160.7877,183.412,139.4564,155.8549,138.8947,143.2908,196.3127,110.3481,19.91536,-144.2604,-259.0698,-269.4243,-269.60718,-153.50751,-123.22444,-336.71075,-307.79938,-191.11929,-115.21289,-206.96643,-350.83185,-263.68979,-347.78384,-477.11182,-618.8327,-690.6196,-779.4833,-778.2723,-727.8226,-599.6342,-517.9535,-655.468,-555.7583,-267.4388,-350.5341,-433.2825
"cS20_b1_b2_b3_b4_b5_b6",0.28571,0,2.4762,2,2.4762,2,1,1,36.0952,37,1,1,0,0,"Easy",58.40035,75.9518,88.40933,125.5829,27.59733,20.29981,34.16804,4.97749,-97.91157,-108.2454,-86.46372,-156.1778,-325.2872,-401.5099,-412.679,-465.0922,-548.5457,-564.7816,-532.8702,-517.5334,-500.8366,-447.4678,-408.7033,-439.672,-467.0654,-464.7123,-441.7653,-461.204,-529.7484,-620.8895,-649.7001,-656.8154,-659.1873,-687.4699,-692.06366,-661.87994,-672.02191,-668.51752,-593.48511,-583.3056,-625.8739,-684.35712,-699.12927,-641.34253,-592.22455,-645.99243,-636.6416,-622.6926,-655.185,-705.7293,-657.4239,-735.5443,-807.8417,-817.9282,-797.5265,-809.7364,-833.6188,-937.9164
"cS20_b1_b2_b3_b4_b5_b6",0.35714,0,2.5714,3,2.5714,3,1,1,33.0714,30.5,1,0,0,1,"Medium",34.00305,10.7427,43.75464,76.48411,2.972391,5.039031,45.05398,6.73002,-74.95082,-75.8577,33.07995,99.45932,-16.81166,-43.95697,7.827614,51.00183,37.59796,66.011,32.73914,48.11103,35.94128,-26.66689,-57.27288,-111.5211,-73.03162,-61.99729,-57.3591,-62.92899,-130.9164,-188.0029,-264.8713,-326.1319,-399.6782,-439.4949,-495.47089,-542.3819,-476.72418,-331.74799,-248.41061,-291.59238,-367.34424,-369.43854,-389.08661,-451.14551,-432.53882,-361.88123,-239.197,-185.2329,-213.2227,-174.8488,-143.646,-150.9627,-258.7386,-278.3744,-236.378,-197.8319,-357.7122,-484.3029
"cS20_b1_b2_b3_b4_b5_b6",0.5,0.5,2.5,2.5,2.5,2.5,1,1,30.3333,26.5,1,0,1,0,"Hard",182.8474,167.8777,221.1834,230.7967,121.3266,34.23962,2.485656,-5.62223,171.2509,392.66,630.1604,743.7353,619.076,515.2884,527.3177,575.9823,529.7545,428.7305,369.9933,372.0398,351.8893,360.1966,363.9132,337.7744,320.8338,213.8615,268.6536,331.9133,268.6617,277.6388,323.7723,275.3181,115.3261,-44.10256,-83.779495,-39.61068,-40.084641,-56.899445,-50.47842,-103.59656,-65.301491,-63.349171,-73.598145,-52.381371,-1.3334796,-54.690895,-122.719,-92.82453,-105.0977,-207.4825,-305.6546,-309.113,-184.8032,-83.93587,47.77193,154.5681,266.558,480.9721
"cS21_b1_b2_b3_b4_b5_b6",0,0,2.4348,2,2.4348,2,1,1,36.0435,34,1,1,0,0,"Easy",17.82532,209.9152,308.6527,299.3614,214.6046,113.0403,-4.258178,-6.60471,110.2712,253.2687,319.1852,512.5319,620.4379,702.584,726.2066,778.7244,766.5317,647.6458,605.1041,772.4422,962.7155,955.7244,848.3008,764.5331,792.2716,837.312,775.7751,693.6795,664.921,650.1182,677.9615,643.2362,545.7826,462.8113,478.22568,439.99722,601.66174,664.41339,584.75714,519.01392,441.8606,526.38019,482.52423,427.36127,424.53876,395.49957,340.6089,403.7122,450.7577,632.0629,579.5924,445.8782,369.9365,300.2707,481.9328,617.1268,626.3541,356.9344
"cS21_b1_b2_b3_b4_b5_b6",0,0,2.5,2.5,2.5,2.5,1,1,37.25,37.5,1,0,0,1,"Medium",68.19966,106.3596,123.2784,183.3972,55.40405,-21.33233,-67.02198,-5.52101,90.35428,215.8051,425.9216,504.3152,508.7405,540.9899,551.8013,592.3771,690.3834,744.4562,655.3297,599.1903,684.088,794.9171,634.4124,671.177,542.4128,602.1434,659.3202,609.0659,473.9315,442.0376,549.0978,472.4989,519.3519,365.3912,204.52917,176.27963,199.40189,268.52219,172.23335,176.25951,316.27335,385.75848,394.06061,239.66055,92.782471,96.813911,117.1576,230.4047,238.2271,296.9175,386.2186,410.5641,226.8438,252.4924,370.6467,326.3934,329.5359,247.0927
"cS21_b1_b2_b3_b4_b5_b6",0.15789,0,2.2632,2,2.2632,2,1,1,29.9474,30,1,0,1,0,"Hard",-231.6022,-244.7689,-117.9661,-42.95133,-26.09498,-112.2522,-112.7148,-3.49747,95.74492,215.3326,543.0031,698.287,634.8351,701.4007,773.9133,771.1782,724.2612,789.5682,763.1929,756.2066,911.195,953.7633,996.639,960.3,911.5594,847.1848,706.8476,752.8678,736.3837,761.5723,683.8881,595.235,521.9393,511.1031,439.52728,472.1608,416.6022,334.03046,295.32065,373.46176,340.05151,360.68784,379.89307,481.92938,381.06976,214.61299,212.9846,41.94216,71.13825,98.87117,51.15872,72.11723,141.9153,219.334,302.2578,402.5768,414.6662,467.166
"cS22_b1_b2_b3_b4_b5_b6",0,0,2.4783,2,2.4783,2,1,1,38.6522,39,1,1,0,0,"Easy",-60.01248,23.4909,31.08248,8.4581,-25.14034,-32.52118,-31.30268,1.5435,-15.45215,29.16589,-26.24277,-105.7,-180.4991,-167.168,-183.05,-77.81355,-106.6657,-127.1623,-185.2547,-124.4379,-110.1522,-159.5434,-105.8356,-104.0039,-76.69221,-28.8938,-105.6501,-119.3932,-89.97444,-101.647,-100.0487,-168.102,-265.9746,-226.555,-227.86551,-165.827,-69.394539,-36.525551,-40.17918,-110.47552,-124.61202,-100.50554,-127.44102,-228.68176,-255.17017,-189.97295,-182.576,-278.3736,-188.3262,-119.9609,-24.63354,-102.7674,-205.9247,-86.76919,-61.72725,-105.2018,-248.4195,-293.253
"cS22_b1_b2_b3_b4_b5_b6",0.05,0,2.5,2.5,2.5,2.5,1,1,36.85,37,1,0,0,1,"Medium",-77.42786,-36.17966,59.04631,60.93125,47.20929,43.31514,28.76968,-1.56391,41.67637,212.8692,331.8244,266.4642,192.0472,113.1916,-5.803694,93.97744,180.5417,205.0874,199.0605,246.4444,354.4849,286.9681,219.7024,223.3763,136.2371,179.3192,122.0108,114.3846,89.33135,78.93526,7.863746,-76.99286,-7.501474,63.25367,23.437187,83.236687,43.699299,-19.89336,-86.470856,-102.95976,-10.823834,36.583454,-26.831945,-118.73332,-212.65498,-258.07135,-182.8722,-210.8291,-230.0237,-204.0364,-162.047,-162.0567,-173.9551,-218.811,-133.4274,-196.5235,-173.3542,-235.9657
"cS22_b1_b2_b3_b4_b5_b6",0.055556,0,2.4444,2,2.4444,2,1,1,34.8333,34.5,1,0,1,0,"Hard",-75.28151,-52.79073,43.30376,83.44106,68.43241,67.56699,28.59344,0.596707,12.95769,184.0182,331.9216,331.7531,258.8395,201.3624,274.6511,389.8425,465.7514,415.7117,419.2971,287.4919,242.1255,305.7722,295.5843,421.1594,489.334,391.0577,268.831,207.6669,359.7365,381.3658,322.0806,222.5803,144.1819,193.386,241.91672,202.25128,221.59659,296.39423,264.10602,257.32147,303.16971,249.37317,233.70068,199.46587,258.77762,229.6208,123.4746,51.67834,88.39534,93.12978,150.2242,175.3645,238.1725,292.0767,212.7497,292.6643,284.4883,258.2469
"cS23_b1_b2_b3_b4_b5_b6",0,0,2.25,2,2.25,2,1,1,36.5833,36,1,1,0,0,"Easy",-68.0916,-21.93025,-0.01855469,29.62368,-25.064,-32.7606,28.96668,4.98262,-70.85072,-64.28938,13.48743,96.90031,123.3986,78.5554,26.95276,25.27372,39.17185,17.71735,35.64934,13.30378,15.78075,-55.17197,-110.6854,-104.4557,-135.4476,-163.5777,-152.5687,-179.7629,-205.3584,-226.7809,-186.6938,-236.0745,-257.9488,-278.084,-297.16031,-375.89828,-439.83487,-439.95184,-520.78076,-566.18719,-545.60419,-585.67596,-557.44897,-598.27325,-596.74866,-614.45764,-685.0905,-676.4098,-617.0255,-590.8376,-594.813,-630.3757,-644.5052,-669.4263,-602.7,-598.7589,-572.0817,-511.1027
